stock_symbol,date,opening,closing,low,high,volume,market_cap,p/e
GFI,1/24/2014,3.53,3.52,3.41,3.5625,4658914,2.595B,27.03
GORO,1/24/2014,5.48,5.07,4.99,5.48,441700,272.7M,20.99
GSV,1/24/2014,0.80,0.7878,0.75,0.8295,138188,72.3M,N/A
GG,1/24/2014,24.38,24.05,23.37,24.57,10198367,19.529B,N/A
MYNG,1/22/2014,N/A,0.0075,N/A,N/A,0,175K,N/A
GPXM,1/24/2014,0.0011,0.0011,0.0008,0.0012,8437968,431K,N/A
GSS,1/24/2014,0.72,0.694,0.63,0.76,3931060,179.8M,N/A
GHDC,1/24/2014,0.0141,0.015,0.0141,0.015,90000,6.0M,N/A
GBGLF,1/24/2014,0.0027,0.0034,0.0025,0.0034,156745,1.9M,N/A
GRZG,1/23/2014,N/A,0.06,N/A,N/A,0,2.9M,N/A
HMY,1/24/2014,2.97,2.94,2.87,3.01,4562387,1.272B,N/A
HPMFF,1/17/2014,N/A,0.0016,N/A,N/A,0,2K,N/A
IAG,1/24/2014,3.77,3.70,3.58,3.81,5471141,1.393B,15.18
IMII,1/17/2014,N/A,0.62,N/A,N/A,7,12.8M,N/A
INCT, INC.,1/24/2014,0.027,0.027,0.027,0.027,4999,540K
THM,1/24/2014,0.65,0.65,0.60,0.65,755846,63.7M,N/A
JAGGF,1/2/2014,N/A,0.07,N/A,N/A,0,6.0M,N/A
KGJI,1/24/2014,1.97,1.83,1.80,1.97,307127,118.6M,4.31
KGC,1/24/2014,4.79,4.65,4.56,4.81,12109184,5.317B,N/A
LSG,1/24/2014,0.70,0.685,0.65,0.725,626040,285.4M,N/A
LVCA,1/24/2014,0.0475,0.0475,0.0475,0.0475,4000,5.4M,N/A
LSTG,1/24/2014,0.019,0.02,0.019,0.0224,69238,2.1M,N/A
GAMZ,1/25/2014,N/A,0.41,N/A,N/A,50,N/A,N/A
MDW,1/24/2014,1.16,1.14,1.12,1.22,626976,149.2M,N/A
MGH,1/24/2014,0.31,0.36,0.295,0.39,510377,18.1M,N/A
NSU,1/24/2014,3.86,3.86,3.72,3.86,1231038,769.3M,20.93
NGD,1/24/2014,5.87,5.77,5.665,5.96,3335501,2.904B,15.22
NEM,1/24/2014,25.46,24.88,24.46,25.65,10561463,12.387B,N/A
NBRI,1/24/2014,0.0335,0.0343,0.033,0.0345,389092,4.2M,N/A
NG,1/24/2014,3.19,3.09,3.00,3.21,2146028,978.4M,N/A
OCEL, I,12/17/2013,N/A,N/A,N/A,0.25,0,13.9M
OCEL, I,12/17/2013,N/A,N/A,N/A,0.25,0,13.9M
OSTO,1/23/2014,N/A,0.065,N/A,N/A,0,871K,N/A
PGOL,1/21/2014,N/A,0.08,N/A,N/A,0,2.5M,N/A
PGOL,1/21/2014,N/A,0.08,N/A,N/A,0,2.5M,N/A
PNGM,1/23/2014,N/A,0.003,N/A,N/A,0,175K,N/A
PGLC,1/24/2014,0.36,0.361,0.357,0.3648,445930,98.7M,N/A
PPP,1/24/2014,5.62,5.54,5.34,5.68,199210,640.9M,17.50
RNGC,1/24/2014,0.004,0.004,0.004,0.004,14000,192K,N/A
RRHI,1/24/2014,0.03,0.032,0.03,0.033,95000,10.9M,N/A
RVNG,1/23/2014,N/A,0.001,N/A,N/A,0,35K,N/A
RIC, I,1/24/2014,1.53,1.51,1.44,1.50,337474,59.4M
RGLD, Inc.,1/24/2014,57.52,56.72,54.92,55.99,995432,3.646B
RYSMF,1/23/2014,N/A,0.0031,N/A,N/A,0,260K,0.02
RYSMF,1/23/2014,N/A,0.0031,N/A,N/A,0,260K,0.02
RBY,1/24/2014,1.26,1.23,1.19,1.30,976425,355.2M,N/A
SAND,1/24/2014,5.27,5.29,5.19,5.31,1002076,528.4M,N/A
SA, I,1/24/2014,8.93,8.84,8.20,8.50,598904,387.4M
SHMX, I,1/14/2014,N/A,N/A,N/A,0.0001,0,66K
SRNG,1/17/2014,N/A,0.003,N/A,N/A,0,987K,N/A
SBGL,1/24/2014,5.44,5.43,5.265,5.48,472707,995.9M,13.24
SVLC,1/24/2014,2.04,1.98,1.92,2.06,326798,215.7M,8.37
XPL,1/24/2014,0.96,0.98,0.96,1.0199,10095,36.4M,N/A
SMPR,1/24/2014,0.86,0.95,0.86,0.95,41100,86.2M,N/A
SRGZ,1/25/2014,N/A,0.22,N/A,N/A,66,7.7M,N/A
TRX,1/24/2014,2.12,2.04,1.95,2.15,336017,205.9M,N/A
THMG,1/23/2014,N/A,0.07,N/A,N/A,0,2.1M,1.43
TGD,1/24/2014,1.40,1.35,1.29,1.41,558909,194.6M,6.57
UGDM,1/24/2014,0.0011,0.0011,0.0011,0.0011,1000,102K,N/A
USCS,1/24/2014,0.0026,0.0019,0.0013,0.0026,7628522,876K,N/A
VMRI,1/6/2014,N/A,0.65,N/A,N/A,0,192.7M,N/A
VGZ,1/24/2014,0.6744,0.63,0.62,0.68,815545,51.5M,N/A
WMTN,1/24/2014,0.75,0.78,0.70,0.78,9466,19.1M,N/A
AUY,1/24/2014,9.78,9.56,9.31,9.91,14652240,7.198B,23.60
AXAS,1/24/2014,3.22,3.17,3.10,3.234,986780,293.2M,N/A
ALOD,1/16/2014,N/A,0.34,N/A,N/A,0,1.9M,N/A
ALTX,1/23/2014,N/A,0.087,N/A,N/A,0,1.2M,N/A
AMZG,1/24/2014,2.08,1.94,1.90,2.08,184461,137.5M,N/A
AEDC,1/24/2014,0.04,0.041,0.04,0.041,6000,4.2M,N/A
AAPH,1/24/2014,0.01,0.0093,0.009,0.01,1528660,756K,N/A
ASEN,1/24/2014,0.246,0.25,0.246,0.25,5000,12.9M,N/A
APC,1/24/2014,82.57,81.09,81.09,82.80,5047326,40.810B,23.65
APA,1/24/2014,83.40,82.42,82.13,83.55,3194197,32.905B,12.47
APAGF,1/24/2014,14.95,14.70,14.50,15.00,25074,432.8M,18.86
AOIL,1/24/2014,0.188,0.205,0.18,0.205,82199,11.5M,N/A
ATHL,1/24/2014,27.91,28.83,27.631,29.09,423523,2.368B,49.36
ARP,1/24/2014,21.74,21.60,21.54,21.835,377799,1.284B,N/A
ATPAQ,1/24/2014,0.0309,0.03,0.0292,0.0309,242378,1.5M,N/A
ATPGQ,1/23/2014,N/A,0.01,N/A,N/A,0,513K,N/A
BRN,1/24/2014,3.01,3.0899,2.97,3.0899,845,25.6M,N/A
BYCX,1/24/2014,1.44,1.44,1.44,1.44,610,1.4M,2.33
BTE,1/24/2014,37.00,37.10,36.54,37.27,128508,4.633B,27.53
BECC,1/24/2014,0.345,0.30,0.245,0.39,478232,N/A,N/A
BDCO,1/24/2014,5.32,5.10,5.10,5.32,704,53.2M,N/A
BWPC,1/17/2014,N/A,0.715,N/A,N/A,0,35.1M,N/A
BMBM,1/23/2014,N/A,0.0065,N/A,N/A,0,363K,N/A
BCEI,1/24/2014,42.33,41.74,41.20,42.50,611180,1.681B,30.53
OGNG,1/24/2014,0.211,0.20,0.18,0.223,1120178,30.5M,N/A
OGNG,1/24/2014,0.211,0.20,0.18,0.223,1120178,30.5M,N/A
BRHM,1/24/2014,0.018,0.018,0.018,0.018,32765,2.3M,N/A
BNXR,1/24/2014,0.022,0.022,0.022,0.022,10000,542K,N/A
COG,1/24/2014,39.58,39.55,39.44,40.02,7016235,16.656B,69.84
CPE,1/24/2014,6.54,6.66,6.42,6.74,352380,268.7M,N/A
CAK,1/24/2014,1.59,1.60,1.55,1.73,1160896,251.3M,N/A
CNQ,1/24/2014,32.45,32.00,31.82,32.53,3175888,34.749B,15.86
CRBO,1/22/2014,N/A,0.85,N/A,N/A,0,97.3M,42.50
CEGX,1/24/2014,0.5399,0.5395,0.5395,0.5399,430,19.2M,N/A
