stock_symbol,date,opening,closing,low,high,volume,market_cap,p/e
ISRG,1/24/2014,412.35,410.76,406.25,426.52,1497195,15.650B,26.24
IVC,1/24/2014,23.29,22.59,22.32,23.385,326199,723.0M,23.67
NVIV,1/24/2014,2.22,2.30,2.20,2.34,126675,181.1M,N/A
IVOB,1/24/2014,0.047,0.047,0.047,0.047,7500,3.9M,N/A
IRIX,1/24/2014,10.43,9.07,8.95,10.46,187184,88.9M,49.67
KIPS,,1/24/2014,0.75,0.725,0.7001,0.72,1764853,19.4M
LDRH,1/24/2014,25.56,25.18,24.50,26.24,65185,589.8M,N/A
MAKO,12/16/2013,N/A,29.99,N/A,N/A,0,1.415B,N/A
MASI,1/24/2014,31.50,31.08,30.68,32.20,322149,1.757B,28.65
MDCI,1/24/2014,7.72,7.64,7.50,7.794,51079,125.2M,N/A
MMAM,12/30/2013,N/A,3.00,N/A,N/A,0,114K,N/A
MDT,1/24/2014,58.40,57.16,57.16,58.4999,5696935,57.066B,15.69
MGCD,1/24/2014,11.81,11.52,11.30,11.81,12301,47.5M,34.29
MDXG, Inc,1/24/2014,8.25,8.15,7.75,8.02,1061671,784.8M
MSA,1/24/2014,53.37,52.21,51.88,53.76,160580,1.942B,24.70
MSON, Inc.,1/24/2014,5.25,5.22,4.99,5.03,10433,36.2M
MRIC,1/24/2014,1.40,1.39,1.39,1.40,41768,81.3M,N/A
BABY,1/24/2014,25.19,24.29,23.41,25.3861,714209,734.9M,42.03
NAVB,1/24/2014,1.87,1.78,1.75,1.90,1111664,238.0M,N/A
NWCI, INC.,1/23/2014,N/A,N/A,N/A,0.0014,0,46K
NIMU,1/25/2014,N/A,0.26,N/A,N/A,124,20.5M,N/A
NUVA, Inc.,1/24/2014,37.96,37.93,36.82,37.28,529257,1.663B
NXTM, ,1/24/2014,13.28,13.28,12.79,13.06,637586,795.7M
OPK,1/24/2014,8.74,8.46,8.40,8.79,2857007,3.452B,N/A
OFIX,1/24/2014,22.74,21.93,21.89,22.83,248178,426.6M,10.82
OXYS,1/23/2014,N/A,0.7399,N/A,N/A,0,17.9M,N/A
PSTX,1/24/2014,2.19,2.19,2.19,2.20,52000,85.0M,N/A
PHMD, Inc.,1/24/2014,14.43,14.43,13.93,14.02,89430,280.1M
PLCSF,1/24/2014,0.0423,0.0423,0.0423,0.0425,850,6.8M,0.87
POSC,1/24/2014,0.0053,0.0052,0.0052,0.0053,361600,7.6M,N/A
PBIO,1/24/2014,0.2978,0.30,0.2551,0.30,49422,3.6M,N/A
PUMD,1/23/2014,N/A,0.24,N/A,N/A,0,4.5M,N/A
RSCF,1/17/2014,N/A,0.06,N/A,N/A,0,2.8M,N/A
RMD,1/24/2014,43.16,43.88,43.02,44.24,4124282,6.240B,21.02
RTIX, Inc,1/24/2014,3.49,3.38,3.22,3.30,118027,185.6M
SNWV, ,1/24/2014,0.60,0.585,0.585,0.60,12100,22.5M
SCVM,1/24/2014,N/A,0.13,N/A,N/A,0,811K,N/A
SIRO,1/24/2014,72.55,72.75,72.15,72.89,914651,4.002B,27.84
SNN,1/24/2014,73.53,72.61,72.61,73.53,65734,13.055B,25.06
SLTM, In,1/23/2014,N/A,N/A,N/A,2.92,0,235.8M
SPAN,1/24/2014,21.98,21.53,20.78,22.05,5341,63.0M,12.93
SCIE,1/24/2014,0.025,0.025,0.025,0.025,5000,4.0M,N/A
STJ,,1/24/2014,64.07,63.47,62.10,62.11,2729350,18.397B
STXS, Inc.,1/24/2014,5.60,N/A,5.09,5.12,933525,81.4M
STE,1/24/2014,48.83,48.17,48.02,48.86,1114449,2.836B,19.27
SYK,1/24/2014,77.66,76.13,76.11,78.145,1791263,28.808B,29.57
SNDZ,1/24/2014,0.005,0.01,0.005,0.01,130000,493K,N/A
SSH,1/24/2014,9.63,9.46,9.301,9.78,129337,159.3M,N/A
SGLN,1/24/2014,0.0003,0.0003,0.0003,0.0003,125000,1.7M,N/A
SMA,1/24/2014,9.63,9.67,9.51,9.75,132941,360.2M,N/A
SURG, ,1/24/2014,3.71,3.69,3.50,3.54,697903,88.3M
ELOS,1/24/2014,12.52,12.25,12.21,12.56,120476,441.8M,N/A
TSNI, INC.,1/16/2014,N/A,N/A,N/A,0.01,0,220K
SPNC,1/24/2014,25.24,24.99,24.65,25.5825,256271,1.024B,N/A
KOOL,1/24/2014,2.80,2.82,2.62,3.14,5011961,47.0M,N/A
KOOL,1/24/2014,2.80,2.82,2.62,3.14,5011961,47.0M,N/A
ULGX,1/24/2014,0.18,0.1594,0.14,0.18,42400,3.3M,N/A
UPI, Inc.,1/24/2014,5.40,3.75,3.75,4.49,2078650,95.4M
VAR,1/24/2014,83.14,81.80,81.76,83.14,1200294,8.671B,20.70
VASO,1/24/2014,0.3713,0.39,0.35,0.39,250855,60.6M,N/A
VSCI, ,1/24/2014,1.3216,1.26,1.23,1.29,199444,59.5M
VSUL,1/24/2014,0.0731,0.08,0.0731,0.08,6216,13.2M,N/A
VOLC,1/24/2014,20.80,20.72,20.58,21.15,786512,1.137B,N/A
WLSI,1/23/2014,N/A,0.0001,N/A,N/A,0,866K,N/A
WNDM,1/24/2014,0.14,0.135,0.1211,0.14,308878,11.6M,N/A
WMGI,1/24/2014,31.01,30.69,30.12,31.01,650007,1.425B,N/A
ZLTQ,1/24/2014,22.68,21.68,21.43,23.48,927367,789.6M,N/A
ZMH, ,1/24/2014,94.96,94.45,93.24,93.36,1036569,15.963B
ZYXI,1/24/2014,0.30,0.3349,0.30,0.3349,3777,10.4M,N/A
ALQA, INC.,1/24/2014,8.59,8.59,8.05,8.20,67922,58.3M
ATEC,1/24/2014,2.28,2.27,2.24,2.32,308731,218.8M,N/A
ANGO, In,1/24/2014,17.13,17.13,16.65,16.91,273703,594.6M
ATRS, I,1/24/2014,4.73,4.71,4.54,4.57,2137796,583.2M
AQUM,1/24/2014,0.0002,0.0001,0.0001,0.0002,185215008,102K,N/A
ATRC, Inc.,1/24/2014,21.73,21.48,20.37,21.04,225150,442.2M
ATRI,1/24/2014,281.19,281.41,278.07,284.48,6571,563.4M,22.01
BAEA,12/31/2013,N/A,0.003,N/A,N/A,0,76K,N/A
BAXS, ,1/24/2014,1.25,1.22,1.18,1.19,454037,53.8M
BAX,1/24/2014,68.53,67.64,67.31,68.733,4125494,36.708B,18.85
BDX, Dickinson,1/24/2014,110.02,108.85,107.74,107.75,1072187,20.914B
SKLN,1/24/2014,0.235,0.245,0.235,0.245,493155,54.2M,N/A
BIOL, Inc.,1/24/2014,2.85,2.80,2.69,2.70,342644,94.1M
BMRA,1/24/2014,0.90,0.89,0.87,0.90,26200,6.5M,N/A
BVX,1/24/2014,2.49,2.6164,2.23,2.6899,86772,46.3M,N/A
CMN,1/24/2014,32.92,32.33,31.77,32.92,157328,1.317B,33.57
CRDC, Inc.,1/24/2014,1.19,1.15,1.136,1.14,409267,58.4M
CFN,1/24/2014,40.23,39.10,39.09,40.33,1840612,8.263B,23.61
CASM,1/24/2014,1.90,1.96,1.86,1.96,31991,36.6M,N/A
CVSL,1/24/2014,0.46,0.48,0.423,0.49,44693,234.1M,N/A
COV,1/24/2014,69.45,68.00,68.00,70.42,5577375,30.763B,19.41
CPCF,1/24/2014,0.045,0.04,0.04,0.045,25973,406K,N/A
BCR, Inc. C,1/24/2014,135.52,134.564,133.06,133.09,639355,10.366B
DXR,1/24/2014,6.97,6.86,6.86,6.98,972,28.2M,N/A
XRAY,1/24/2014,46.76,45.84,45.83,46.91,1526040,6.539B,18.60
DSCI, I,1/24/2014,12.44,12.25,11.53,11.87,2178179,205.2M
DXCM, Inc.,1/24/2014,37.25,37.08,35.86,36.68,507257,2.633B
ECIA,1/24/2014,1.12,1.05,1.05,1.12,4500,8.6M,N/A
ELGX, Inc.,1/24/2014,16.76,16.72,16.04,16.34,383045,1.038B
ERB,,1/24/2014,3.35,3.35,3.10,3.29,111984,143.6M
HAE,1/24/2014,41.03,40.04,39.96,41.19,501540,2.063B,68.50
HBIO,1/24/2014,4.52,4.45,4.4031,4.52,75403,138.0M,1142.50
HTWR,1/24/2014,99.52,98.78,98.26,100.10,196195,1.626B,N/A
HRC,1/24/2014,37.05,37.38,36.15,37.45,1520173,2.211B,23.62
HDII,1/22/2014,N/A,0.008,N/A,N/A,0,419K,N/A
ICUI, Inc.,1/24/2014,66.40,65.66,64.37,65.67,117237,967.6M
IMRS,1/24/2014,1.98,1.95,1.87,1.99,393462,101.5M,N/A
PODD,1/24/2014,42.82,43.28,42.27,43.61,698334,2.360B,N/A
IART,1/24/2014,47.70,46.85,46.06,47.84,254966,1.317B,N/A
IRSB,1/15/2014,N/A,0.26,N/A,N/A,0,3.5M,N/A
ISR, Inc. Comm,1/24/2014,0.81,0.77,0.72,0.75,1479070,28.8M
IMSU,1/24/2014,0.042,0.042,0.042,0.042,2000,2.2M,N/A
LAKE,1/24/2014,6.68,6.62,6.60,6.80,6349,35.5M,N/A
LMAT,1/24/2014,8.20,8.03,7.96,8.20,22155,123.8M,40.85
LBMH,1/24/2014,5.31,4.93,4.68,5.35,1230760,258.3M,38.14
LMNX,1/24/2014,18.58,18.49,18.39,18.69,181941,774.1M,122.61
MDHI,1/24/2014,0.0008,0.0009,0.0008,0.0009,393000,1.2M,N/A
MPSP,1/23/2014,N/A,0.20,N/A,N/A,0,6.9M,0.31
MELA, In,1/24/2014,0.72,N/A,0.6825,0.69,517253,32.7M
MMSI,1/24/2014,15.19,15.00,14.73,15.27,145634,641.2M,63.61
MLAB,1/24/2014,78.28,77.06,77.0155,78.33,4741,264.0M,35.98
MLSS,1/24/2014,1.55,1.55,1.55,1.55,5700,27.2M,314.00
MR,1/24/2014,35.70,35.00,34.70,37.325,2579471,4.170B,20.58
INFU,1/24/2014,2.50,2.50,2.45,2.50,108211,55.2M,53.19
NSPH, Inc.,1/24/2014,2.51,2.51,2.39,2.44,498677,147.2M
NEPH,1/23/2014,N/A,0.475,N/A,N/A,0,8.5M,N/A
NURO, Inc.,1/24/2014,2.60,2.60,2.25,2.35,290769,7.0M
NURO, Inc.,1/24/2014,2.60,2.60,2.25,2.35,290769,7.0M
NMTI,1/23/2014,N/A,0.0001,N/A,N/A,0,2K,N/A
OCLS,1/24/2014,3.47,3.21,3.17,3.4899,208587,21.3M,N/A
OSUR,1/24/2014,6.60,6.36,6.32,6.662,347074,353.6M,N/A
PEYE,1/24/2014,0.90,0.90,0.90,0.90,500,4.0M,N/A
PDEX, Inc.,1/24/2014,3.60,3.42,3.29,3.57,437580,11.9M
QTXB,1/24/2014,0.029,0.029,0.016,0.029,15400,1.5M,N/A
REPR,1/24/2014,0.225,0.225,0.22,0.225,13205,8.2M,15.00
RVP,1/24/2014,3.53,3.42,3.42,3.53,15979,92.2M,N/A
RMCP,1/24/2014,0.04,0.0321,0.0321,0.04,83150,3.4M,N/A
TRXC, INC,1/24/2014,1.57,1.57,1.56,1.57,26140,264.4M
SECI,1/25/2014,N/A,0.05,N/A,N/A,28,15K,N/A
SEYE,1/24/2014,0.016,0.016,0.016,0.016,5000,111K,0.65
STAA,1/24/2014,16.27,16.24,16.00,16.4097,215444,605.7M,N/A
TNDM,1/24/2014,25.97,25.41,25.00,26.00,80225,543.2M,N/A
TFX,1/24/2014,96.09,94.37,93.12,96.09,394840,3.883B,28.27
COO,,1/24/2014,126.18,126.18,122.11,122.70,953132,5.890B
THOR,1/24/2014,35.57,34.94,34.53,35.75,851752,1.991B,45.86
TRNX,1/24/2014,18.88,18.30,18.23,19.314,228645,887.2M,N/A
BAXS, ,1/24/2014,1.25,1.22,1.18,1.19,454037,53.8M
TRXC, INC,1/24/2014,1.57,1.57,1.56,1.57,26140,264.4M
UNIS,1/24/2014,4.75,4.70,4.64,4.84,1912265,459.6M,N/A
UEEC,1/24/2014,0.165,0.17,0.165,0.17,30500,17.2M,N/A
UTMD,1/24/2014,54.65,54.64,53.446,56.45,4954,204.3M,20.36
VASC,1/24/2014,24.03,23.35,22.97,24.27,71916,393.0M,38.55
VCRT,1/23/2014,N/A,0.004,N/A,N/A,0,227K,N/A
VYTRQ,1/11/2014,N/A,0.005,N/A,N/A,0,475K,N/A
VYTRQ,1/11/2014,N/A,0.005,N/A,N/A,0,475K,N/A
WST,1/24/2014,49.16,48.21,48.11,49.42,252359,3.367B,31.98
A,1/24/2014,59.22,57.87,57.71,59.46,2656341,19.202B,28.32
ALR,1/24/2014,36.91,36.71,35.99,37.13,1198040,3.006B,N/A
AIQ,1/24/2014,27.68,27.91,27.50,27.98,28861,290.8M,N/A
BGMD, Inc.,1/24/2014,1.26,1.23,1.17,1.20,884059,33.5M
BIO,1/24/2014,129.07,126.84,126.50,129.07,98373,3.640B,41.79
BRLI,1/24/2014,26.00,25.65,25.52,26.20,425671,710.4M,15.78
CBIS,1/24/2014,0.1345,0.142,0.133,0.146,32144860,108.1M,N/A
CO,1/24/2014,3.98,3.96,3.86,3.98,54622,289.1M,17.17
CBMX,1/24/2014,3.02,2.92,2.85,3.12,1427603,13.8M,N/A
CBAI,1/24/2014,0.0025,0.0023,0.0023,0.0025,4572024,2.0M,N/A
CBAT,1/16/2014,N/A,0.0151,N/A,N/A,0,4.3M,N/A
CVD,1/24/2014,95.98,93.46,93.15,95.98,404067,5.250B,32.32
CTSO,1/24/2014,0.28,0.2935,0.266,0.311,3272772,71.9M,N/A
CTSO,1/24/2014,0.28,0.2935,0.266,0.311,3272772,71.9M,N/A
DDXS, INC.,1/24/2014,1.04,1.01,1.01,1.02,66316,55.8M
ENZ, Inc,1/24/2014,2.93,2.92,2.73,2.81,215266,116.2M
FMI,1/24/2014,N/A,32.00,31.60,33.49,380851,900.4M,N/A
GNLK,1/23/2014,N/A,0.0065,N/A,N/A,0,1.7M,N/A
GHDX, I,1/24/2014,32.549,32.53,31.02,31.26,151544,960.9M
HSKA,1/24/2014,8.92,9.18,8.64,9.20,44430,53.6M,N/A
ICLR,1/24/2014,42.49,41.85,41.42,42.49,324370,2.561B,28.95
IRWD,1/24/2014,14.46,14.36,14.20,14.59,1460254,1.737B,N/A
LH,1/24/2014,91.19,90.10,89.98,91.35,773014,7.875B,15.06
DRIO,1/24/2014,2.14,2.18,2.08,2.20,26576,43.7M,N/A
LIFE,1/24/2014,75.98,75.96,75.95,75.98,3241394,13.128B,27.96
LPDX, Inc.,1/24/2014,4.7099,4.61,4.51,4.55,35856,69.0M
MMMS,11/12/2013,N/A,7.30,N/A,N/A,0,217.5M,41.95
MTD,1/24/2014,251.63,243.44,243.09,251.63,235768,7.227B,26.12
MMTC,1/24/2014,0.45,0.44,0.44,0.45,1190,2.3M,N/A
MMTC,1/24/2014,0.45,0.44,0.44,0.45,1190,2.3M,N/A
NEO, Inc.,1/24/2014,4.24,4.22,3.82,3.87,477115,189.5M
NDZ,1/24/2014,9.58,9.44,9.30,9.66,146376,584.4M,2.52
NVDQ,1/24/2014,19.40,18.84,18.47,19.40,355737,916.0M,N/A
ONVO,1/24/2014,9.64,9.12,8.96,9.64,5009795,704.8M,N/A
OXIS,1/23/2014,N/A,0.004,N/A,N/A,0,1.8M,N/A
PRXL,1/24/2014,48.45,48.18,48.10,48.50,1057677,2.722B,26.90
PKI, Inc.,1/24/2014,42.32,42.25,41.15,41.18,739393,4.628B
PSID,1/24/2014,0.028,0.026,0.026,0.03,1747438,1.3M,N/A
PMD,1/24/2014,15.77,15.80,15.55,15.90,25523,83.9M,26.14
DGX,1/24/2014,54.45,53.71,53.6354,54.59,1984064,7.811B,11.17
Q,1/24/2014,47.45,46.21,46.00,47.802,815761,5.958B,31.30
RDNT, Inc.,1/24/2014,1.81,1.80,1.68,1.74,313143,69.8M
RGDX,1/24/2014,1.53,1.50,1.43,1.54,514612,51.4M,N/A
ROSG,1/24/2014,N/A,3.61,3.45,3.71,356936,35.4M,N/A
SPEX,1/24/2014,8.50,8.24,8.21,8.5001,40288,31.1M,N/A
SPEX,1/24/2014,8.50,8.24,8.21,8.5001,40288,31.1M,N/A
TEAR,1/24/2014,8.42,8.38,8.33,8.555,409925,277.5M,N/A
TMO,1/24/2014,113.14,109.95,109.93,113.14,3895608,39.732B,31.40
WX,1/24/2014,36.00,33.73,32.50,36.33,1971718,2.402B,25.18
LCAV,1/24/2014,4.25,4.11,4.06,4.25,90290,79.1M,N/A
LMNK,1/14/2014,N/A,0.026,N/A,N/A,0,659K,N/A
LMNK,1/14/2014,N/A,0.026,N/A,N/A,0,659K,N/A
ACHC,1/24/2014,52.78,52.26,52.10,52.78,313610,2.640B,74.73
AIRM,1/24/2014,52.94,52.03,51.46,53.055,367925,2.031B,29.69
ANCI,1/24/2014,2.09,2.07,2.0233,2.10,8457,11.8M,N/A
AMS,1/24/2014,2.97,2.94,2.90,2.97,5617,13.5M,N/A
AHS,1/24/2014,15.20,15.07,15.01,15.34,250624,693.3M,23.16
AMEH,1/23/2014,N/A,0.50,N/A,N/A,0,19.0M,N/A
BEAT, Inc,1/24/2014,7.74,N/A,7.33,7.44,276419,191.6M
CATS,1/24/2014,1.03,1.03,1.03,1.03,605,19.4M,N/A
CATS,1/24/2014,1.03,1.03,1.03,1.03,605,19.4M,N/A
CHCR,1/24/2014,0.0387,0.0387,0.0387,0.0387,20000,2.4M,N/A
CCEL,1/24/2014,1.83,2.08,1.83,2.08,10407,22.1M,N/A
DVA,1/24/2014,65.19,64.20,63.956,65.37,1228533,13.655B,24.23
FMS,1/24/2014,36.96,36.46,36.46,37.01,739184,21.932B,22.11
CEYY,1/24/2014,0.12,0.125,0.1158,0.125,57493,14.7M,N/A
FDNH,1/24/2014,0.35,0.35,0.35,0.35,1000,57.2M,N/A
HGR, Inc. Comm,1/24/2014,39.47,39.26,38.14,38.89,109421,1.357B
HLS,1/24/2014,32.45,31.51,31.49,32.45,627171,2.755B,10.27
HWAY, Inc.,1/24/2014,16.25,16.25,15.77,16.15,451474,566.2M
HEMA,1/24/2014,N/A,0.32,N/A,N/A,0,3.3M,N/A
HH, In,1/24/2014,0.578,0.578,0.5211,0.54,264957,37.8M
IPCM,1/24/2014,54.55,54.15,53.55,57.5999,80800,916.5M,23.41
MLKNA,1/6/2014,N/A,0.0001,N/A,N/A,0,5K,0.02
MD, Inc. Comm,1/24/2014,54.68,54.35,53.31,53.77,451740,5.350B
NHPR,1/23/2014,N/A,0.0047,N/A,N/A,0,11K,N/A
OVIT,1/24/2014,0.06,0.06,0.06,0.06,3000,1.3M,N/A
PFHO,1/24/2014,28.00,29.50,24.78,29.90,10328,23.7M,24.88
PRSC,1/24/2014,24.60,24.66,24.475,24.78,71497,333.0M,17.73
PSYS,1/23/2014,N/A,0.06,N/A,N/A,0,N/A,N/A
SKCO,1/24/2014,N/A,0.0325,N/A,N/A,0,260K,N/A
USNU,1/10/2014,N/A,0.104,N/A,N/A,0,811K,7.43
USPH,1/24/2014,33.71,33.38,31.83,33.95,46487,404.1M,31.61
EMRI,1/24/2014,1.00,1.10,0.98,1.18,28594,11.8M,N/A
GY,1/24/2014,17.50,17.19,17.18,17.52,893444,1.047B,7.57
MICT,1/24/2014,5.31,5.21,5.21,5.31,1920,30.4M,32.78
MICT,1/24/2014,5.31,5.21,5.21,5.31,1920,30.4M,32.78
MICT,1/24/2014,5.31,5.21,5.21,5.31,1920,30.4M,32.78
NOC,1/24/2014,116.68,113.45,113.43,116.71,2172258,25.185B,14.04
RTN,1/24/2014,90.09,88.13,88.13,90.3599,1998683,28.155B,15.69
SDSS,1/24/2014,0.0055,0.004,0.004,0.0055,749999,394K,N/A
TXT,1/24/2014,37.29,36.41,36.31,37.385,3309570,10.293B,21.59
ACFN, Inc,1/24/2014,4.07,4.07,3.88,3.97,172815,87.9M
AVAV, In,1/24/2014,30.65,30.32,29.19,29.23,256110,651.0M
AIRI,1/24/2014,8.48,8.47,8.47,8.576,7431,49.5M,12.91
ATK,1/24/2014,132.61,130.42,130.251,133.26,400344,4.153B,14.38
ATRO,1/24/2014,61.29,59.37,57.671,61.29,199446,1.042B,35.34
ASTC,1/24/2014,3.72,3.27,3.20,3.77,624142,63.7M,31.47
BEAV, In,1/24/2014,85.59,85.06,82.87,82.93,998888,8.688B
BZC,1/24/2014,9.3001,9.3101,9.3001,9.3101,520,90.0M,22.15
BUKS,1/24/2014,0.1499,0.1499,0.1499,0.1499,19093,8.8M,N/A
CAE,1/24/2014,13.00,12.83,12.75,13.08,39063,3.354B,19.94
CVU,1/24/2014,14.36,14.50,14.35,14.66,18643,121.7M,13.98
CYIO,1/24/2014,0.016,0.016,0.008,0.016,16000,581K,N/A
DGI, Inc,1/24/2014,40.16,40.10,38.69,39.08,1049669,2.940B
DCO,1/24/2014,29.94,28.98,28.69,29.94,46022,312.4M,18.87
ERJ,1/24/2014,32.96,31.99,31.86,32.96,1186389,5.845B,29.09
EAC,1/24/2014,19.79,19.25,18.99,19.79,16503,265.4M,20.45
ESL,1/24/2014,107.85,103.95,103.87,108.19,269653,3.282B,20.97
XLS,1/24/2014,20.37,20.07,20.03,20.52,2881135,3.790B,13.56
FLIR, Inc,1/24/2014,33.92,33.92,32.60,32.67,1125436,4.628B
GD,1/24/2014,100.04,98.31,98.10,100.21,3508728,34.458B,15.24
HEI,1/24/2014,57.80,55.97,55.82,57.80,280187,3.716B,38.11
HEI-A,1/24/2014,42.99,41.49,41.09,42.99,120001,2.755B,28.16
HXL,1/24/2014,45.40,42.80,42.14,45.63,2253532,4.233B,25.02
HII,1/24/2014,96.51,93.45,92.91,96.54,566342,4.614B,22.32
ISSC,1/24/2014,7.45,7.10,7.04,7.5799,32641,119.9M,67.27
KAMN,1/24/2014,39.74,38.95,38.66,39.74,134625,1.056B,18.59
LLL,1/24/2014,106.79,104.17,104.16,106.90,774171,9.232B,12.49
LMIA, In,1/24/2014,14.144,13.98,13.69,13.78,106052,173.9M
LMT,1/24/2014,151.33,147.76,146.68,151.33,3498728,47.135B,16.47
MLER,1/24/2014,0.115,0.1103,0.1102,0.12,47196,5.7M,N/A
MOG-A,1/24/2014,66.75,62.64,61.57,67.04,731887,2.843B,26.64
OKRG,1/23/2014,N/A,0.33,N/A,N/A,0,472K,N/A
ORB,1/24/2014,24.61,23.38,23.29,24.61,378217,1.413B,22.85
PIVN,12/9/2013,N/A,0.0025,N/A,N/A,0,42K,N/A
RDSH,1/24/2014,0.0002,0.0002,0.0002,0.0003,5460000,598K,N/A
COL,,1/24/2014,78.55,78.55,77.06,77.07,1163093,10.437B
SWHC,1/24/2014,13.59,13.44,13.18,13.75,1771783,752.1M,10.88
SPR,1/24/2014,34.77,33.70,33.59,34.77,1414215,4.875B,193.59
RGR, Ruger & Co,1/24/2014,77.62,77.54,73.54,73.85,496252,1.429B
TADF,1/24/2014,0.0001,0.0002,0.0001,0.0002,11698949,1.2M,N/A
TASR,1/24/2014,17.35,16.74,16.60,17.52,1585068,868.2M,54.66
TATT,1/24/2014,8.26,8.24,8.209,8.28,4105,72.5M,19.81
TATT,1/24/2014,8.26,8.24,8.209,8.28,4105,72.5M,19.81
TDY,1/24/2014,94.59,92.80,91.98,94.59,387603,3.545B,19.50
BA,1/24/2014,140.40,136.65,136.32,140.47,5873453,102.7B,25.10
TPAC,1/25/2014,N/A,0.044,N/A,N/A,500,4.3M,N/A
TDG,1/24/2014,172.53,169.10,169.08,174.12,355252,8.906B,72.76
TGI, In,1/24/2014,77.89,77.52,76.32,76.98,703202,3.988B
USAE,1/16/2014,N/A,0.0017,N/A,N/A,0,62K,N/A
VLYFQ,1/24/2014,0.012,0.012,0.012,0.012,1000,750K,N/A
WWD, Inc.,1/24/2014,44.41,43.94,43.64,44.06,785181,2.961B
CPAC,1/24/2014,10.5513,10.60,10.5513,10.81,21886,1.234B,20.40
CX, S.A.B. de ,1/24/2014,12.60,12.59,12.16,12.41,18376684,14.153B
CRH,1/24/2014,26.83,26.24,26.24,26.87,469709,19.090B,38.08
EXP,1/24/2014,79.78,78.47,77.23,80.01,1094741,3.918B,41.83
INBG,1/3/2014,N/A,0.0001,N/A,N/A,0,468K,N/A
JHX,1/24/2014,56.50,56.70,56.4952,56.70,2505,25.088B,160.02
MCEM,1/21/2014,N/A,25.00,N/A,N/A,40,99.5M,58.55
SMID,1/24/2014,2.05,2.05,2.02,2.05,12500,9.8M,N/A
TXI,,1/24/2014,77.40,67.98,67.1201,75.06,1346338,2.148B
ACPW, Inc,1/24/2014,3.50,3.50,3.40,3.43,65361,66.4M
ATU,1/24/2014,36.25,35.16,35.02,36.49,967093,2.559B,91.30
ADEP,,1/24/2014,17.418,N/A,15.7504,16.09,270770,176.7M
AGSO,1/3/2014,N/A,0.0031,N/A,N/A,0,197K,N/A
AACS,1/24/2014,0.0032,0.0031,0.0031,0.0032,69165,2.8M,N/A
AME, Inc.,1/24/2014,51.17,50.82,49.62,49.63,1320360,12.147B
AP,1/24/2014,17.94,17.33,17.32,18.1799,46348,179.6M,10.85
BGG,1/24/2014,20.98,21.22,20.71,21.25,852218,993.6M,N/A
BWEN,,1/24/2014,9.98,9.96,8.88,9.00,288009,131.3M
CHMR,1/16/2014,N/A,0.005,N/A,N/A,0,330K,N/A
MY,1/24/2014,2.78,2.72,2.70,2.79,1282712,336.6M,N/A
CYD,1/24/2014,22.10,21.03,20.92,22.10,86381,783.2M,7.78
CTEK,1/23/2014,N/A,0.60,N/A,N/A,0,15.0M,N/A
CLNT,1/24/2014,5.63,5.38,5.3748,5.735,92228,18.8M,2.60
CFX,1/24/2014,64.52,62.01,61.9795,64.73,650012,6.319B,46.70
CUO,1/24/2014,21.40,20.0001,20.0001,21.40,2487,32.9M,7.36
CR,1/24/2014,67.32,65.46,65.286,67.32,269807,3.806B,18.46
CMI,1/24/2014,131.12,126.31,126.06,131.22,3033163,23.506B,17.50
CVV,1/24/2014,13.49,13.00,12.90,13.63,75044,79.1M,N/A
DHR,1/24/2014,76.41,74.13,74.12,76.59,4018923,51.683B,21.55
DOV,1/24/2014,93.08,90.33,90.31,93.58,1193979,15.389B,17.02
DRC,1/24/2014,58.24,57.09,56.88,58.29,1093601,4.355B,20.92
ETN,1/24/2014,75.22,73.13,72.98,75.25,4557245,34.700B,22.08
ESPH,1/24/2014,0.28,0.275,0.255,0.28,90490,45.0M,2.14
ESPH,1/24/2014,0.28,0.275,0.255,0.28,90490,45.0M,2.14
ECTYQ, INC.,1/24/2014,0.0215,0.017,0.0166,0.0186,50800,477K
ECTYQ, INC.,1/24/2014,0.0215,0.017,0.0166,0.0186,50800,477K
EVTN,1/24/2014,0.10,0.10,0.09,0.10,20400,3.3M,N/A
ETCC,1/23/2014,N/A,1.85,N/A,N/A,0,28.2M,26.43
FLOW,1/24/2014,4.04,4.04,4.04,4.05,268603,198.2M,101.00
FLS,1/24/2014,75.31,72.99,72.63,75.44,2536296,10.180B,22.69
GNRC,1/24/2014,48.60,47.50,45.02,48.63,3241282,3.256B,22.61
GE,1/24/2014,25.57,24.95,24.95,25.59,95835536,251.7B,18.97
GLPW,1/24/2014,18.38,18.20,18.10,19.13,31345,309.9M,20.89
GRC,1/24/2014,33.15,32.54,31.91,33.15,54004,854.3M,33.04
GGG,1/24/2014,75.42,72.80,72.671,75.51,303517,4.458B,22.78
HI,1/24/2014,28.47,27.68,27.56,28.55,203847,1.746B,28.42
HON,1/24/2014,89.55,88.47,88.43,90.91,5029640,69.529B,18.25
HUB-B,1/24/2014,117.64,115.09,114.57,117.64,224897,6.803B,22.32
IPWR,1/24/2014,7.03,7.10,7.011,7.24,14459,44.0M,N/A
IEX,1/24/2014,72.48,69.60,69.54,72.82,775354,5.646B,87.93
ITW,1/24/2014,80.66,79.21,79.21,81.03,2117435,35.156B,16.50
IR,1/24/2014,60.16,58.11,58.085,60.18,3050234,16.741B,22.56
IBAL,1/23/2014,N/A,1.47,N/A,N/A,0,7.6M,34.19
